id,question,response
F6-02A,What was our inventory turnover in 1999?,
F2-01U,What was the total quantity in Q3 2003?,
F6-01A,What was our refund rate in 1999?,
F1-02U,What is the total carbon footprint of our item records?,
F7-02U,What was our total cost in 1999?,
F7-01U,What was our total revenue in 1999?,
F1-01U,What is the average shipping weight in kilograms of our item records?,
F1-01A,What is the distribution of category of our item records?,
F2-03U,What was the total list price in Q3 2003?,
F7-02A,What was the total ext ship cost in catalog sales in 1999?,
F6-01U,What was our customer churn rate in 1999?,
F2-03A,What was the total list price in Q2 2002?,
F6-02U,What was our cart abandonment rate in 1999?,
F7-01A,What was the total net loss in catalog returns in 1999?,
F2-02A,What was the total wholesale cost in Q2 2002?,
F1-03U,What is the distribution of country of manufacture of our item records?,
F2-01A,What was the total quantity in Q2 2002?,
F1-03A,What is the distribution of units of our item records?,
F2-02U,What was the total wholesale cost in Q3 2003?,
F1-02A,What is the distribution of size of our item records?,
